"","ensembl","gene","cellType"
"1","ENSG00000197921","HES5","Astrocyte"
"2","ENSG00000168505","GBX2","Astrocyte"
"3","ENSG00000233611","AC019068.1","Astrocyte"
"4","ENSG00000237742","AL365259.1","Astrocyte"
"5","ENSG00000238230","LINC00391","Astrocyte"
"6","ENSG00000072310","SREBF1","Astrocyte"
"7","ENSG00000267339","LINC00906","Astrocyte"
"8","ENSG00000163492","CCDC141","Endo"
"9","ENSG00000168505","GBX2","Excit.Thal"
"10","ENSG00000233611","AC019068.1","Excit.Thal"
"11","ENSG00000139287","TPH2","Excit.Thal"
"12","ENSG00000081985","IL12RB2","Inhib.Thal"
"13","ENSG00000186648","CARMIL3","Inhib.Thal"
"14","ENSG00000113249","HAVCR1","Microglia"
"15","ENSG00000159842","ABR","Microglia"
