"","Length","gencodeID","ensemblID","gene_type","Symbol","EntrezID","Class","NumTx","meanExprs","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ENSG00000168779.19",5045,"ENSG00000168779.19","ENSG00000168779","protein_coding","SHOX2",6474,"InGen",6,0.0243926547700496,-7.89532143075495,-4.2081680749036,-22.711438258904,4.70242217477032e-96,1.22253571699679e-91,204.245132632786
"ENSG00000165588.16",3272,"ENSG00000165588.16","ENSG00000165588","protein_coding","OTX2",5015,"InGen",7,0.144439659540542,-7.51470718553672,-3.092507456191,-14.1371836303135,3.06720213754779e-42,3.98705605859837e-38,84.0372200674788
"ENSG00000186684.12",4491,"ENSG00000186684.12","ENSG00000186684","protein_coding","CYP27C1",339761,"InGen",2,0.250536567781757,-4.27019791975599,-1.14267179288866,-10.4848032823801,1.01127943392074e-24,8.76374757435712e-21,44.8208231920279
"ENSG00000143333.6",2427,"ENSG00000143333.6","ENSG00000143333","protein_coding","RGS16",6004,"InGen",1,3.57225428063681,-3.9842282766762,2.2817709089194,-10.346314461468,3.86421177908155e-24,2.51154444581406e-20,43.8255742623577
"ENSG00000132031.12",3118,"ENSG00000132031.12","ENSG00000132031","protein_coding","MATN3",4148,"InGen",3,0.631121589583206,-2.9903463326175,0.558727667676851,-10.0676326669076,5.48475120414219e-23,2.85185123610577e-19,41.0407360712438
"ENSG00000115129.13",2312,"ENSG00000115129.13","ENSG00000115129","protein_coding","TP53I3",9540,"InGen",6,0.92814295392773,-2.43633942882518,1.0480322345084,-9.87991256882941,3.16539242334115e-22,1.37156453703372e-18,39.2957855194455
"ENSG00000099994.10",5279,"ENSG00000099994.10","ENSG00000099994","protein_coding","SUSD2",56241,"InGen",2,0.30129121087894,-3.16769169634017,0.127408502260928,-9.26751482463307,7.94079675578418e-20,2.94921191509824e-16,34.0483475122738
"ENSG00000163377.15",3297,"ENSG00000163377.15","ENSG00000163377","protein_coding","FAM19A4",151647,"InGen",3,0.594511092497256,-2.89975421603647,0.961691936244595,-9.05978950968597,4.83180677152009e-19,1.57021640557474e-15,32.3274556354372
"ENSG00000116745.6",2610,"ENSG00000116745.6","ENSG00000116745","protein_coding","RPE65",6121,"InGen",1,0.393914567566053,-4.00774790511806,-0.393230126778735,-9.01444543234669,7.1331423164712e-19,2.06052704381798e-15,31.9638361643618
"ENSG00000173218.14",9062,"ENSG00000173218.14","ENSG00000173218","protein_coding","VANGL1",81839,"InGen",6,0.518196935632838,-2.06029930485302,2.31687192296447,-8.65634726502316,1.45761166492034e-17,3.7894988064599e-14,29.0891554037519
"ENSG00000148737.16",6736,"ENSG00000148737.16","ENSG00000148737","protein_coding","TCF7L2",6934,"InGen",30,2.50926851178325,-2.28399296326898,3.83790908511742,-8.60319256864476,2.26070285370429e-17,5.34306843550946e-14,28.7096737658708
"ENSG00000121898.12",4859,"ENSG00000121898.12","ENSG00000121898","protein_coding","CPXM2",119587,"InGen",4,0.688698581508032,-3.47915405174297,1.40873742033856,-8.5779436704816,2.7824369468605e-17,6.02814964537327e-14,28.467910642524
"ENSG00000196666.4",1388,"ENSG00000196666.4","ENSG00000196666","protein_coding","FAM180B",399888,"InGen",1,0.167500568588106,-3.47487291199855,-1.79440509590225,-8.386362956275,1.32194519861921e-16,2.64368702105402e-13,26.4828487633748
"ENSG00000148488.15",2627,"ENSG00000148488.15","ENSG00000148488","protein_coding","ST8SIA6",338596,"InGen",2,1.14016368733779,-1.93961424144856,1.47822088956762,-7.78306063594809,1.46293004980314e-14,2.71666110248444e-11,22.4165164885022
"ENSG00000231359.3",306,"ENSG00000231359.3","ENSG00000231359","processed_pseudogene","AC072052.7",NA,"InGen",1,0.91417440152865,-3.13876572111326,-2.10873919915064,-7.73669398580339,2.07386901753982e-14,3.59442978120002e-11,21.7344957508722
"ENSG00000215045.8",4134,"ENSG00000215045.8","ENSG00000215045","protein_coding","GRID2IP",392862,"InGen",3,0.407204860375518,-2.56377115457721,0.579384959960764,-7.65133026533038,3.92396517992322e-14,6.37595292172774e-11,21.4811281741135
"ENSG00000108950.11",6203,"ENSG00000108950.11","ENSG00000108950","protein_coding","FAM20A",54757,"InGen",7,0.178472199572356,-3.09012393071117,-0.258441882390531,-7.61216764340233,5.24656032972777e-14,8.02353385013309e-11,21.0885332683993
"ENSG00000249307.5",3995,"ENSG00000249307.5","ENSG00000249307","antisense","LINC01088",NA,"InGen",11,0.677952501771468,-3.36468687065318,1.11758626829945,-7.54073947128362,8.88153682588468e-14,1.28278996888528e-10,20.7067769801812
"ENSG00000177551.5",7541,"ENSG00000177551.5","ENSG00000177551","protein_coding","NHLH2",4808,"InGen",3,0.228628724281148,-2.922088327112,0.278183468569404,-7.48724067557482,1.31362587219423e-13,1.7974550223845e-10,20.2556199383149
"ENSG00000180660.7",3028,"ENSG00000180660.7","ENSG00000180660","protein_coding","MAB21L1",4081,"InGen",1,0.272197900477985,-2.69215174973281,-1.28867716464794,-7.45909865704053,1.61235113116431e-13,2.05338245260014e-10,19.9585265198578
"ENSG00000145888.10",2434,"ENSG00000145888.10","ENSG00000145888","protein_coding","GLRA1",2741,"InGen",4,0.320724605543598,-3.20655749141836,-1.38558202258086,-7.45520476920227,1.65862879854616e-13,2.05338245260014e-10,19.9419333337614
"ENSG00000168505.6",2315,"ENSG00000168505.6","ENSG00000168505","protein_coding","GBX2",2637,"InGen",3,0.0953462352388972,-4.52776488942747,-2.57746637300035,-7.392643161568,2.60869882812614e-13,3.08277055152834e-10,19.5502707043458
"ENSG00000133636.10",1555,"ENSG00000133636.10","ENSG00000133636","protein_coding","NTS",4922,"InGen",3,1.66826610166924,-5.9180871969383,-1.03198840178037,-7.36999984030972,3.0707659188982e-13,3.4710335808485e-10,19.4821841287374
"ENSG00000133067.17",4583,"ENSG00000133067.17","ENSG00000133067","protein_coding","LGR6",59352,"InGen",8,0.217992207544127,-3.16959127341866,-0.556335803175588,-7.08301479400477,2.33441486903732e-12,2.42760471060929e-09,17.5427400119905
"ENSG00000200818.1",107,"ENSG00000200818.1","ENSG00000200818","snRNA","RNU6-1204P",NA,"InGen",1,0.037218182062611,-2.98559405007583,-5.4469533152162,-7.28616281712022,5.59493841949385e-13,6.06071704291671e-10,17.0882014683937
"ENSG00000049283.17",4642,"ENSG00000049283.17","ENSG00000049283","protein_coding","EPN3",55040,"InGen",18,0.130168735012325,-3.97008932512007,-1.22719587495052,-6.89061204746495,8.73719262088365e-12,8.73652052914358e-09,16.2519457029635
"ENSG00000138795.9",5361,"ENSG00000138795.9","ENSG00000138795","protein_coding","LEF1",51176,"InGen",21,1.0113809411654,-1.6073455324023,2.51669299317519,-6.86997245853011,1.0046765514762e-11,9.6739188834364e-09,16.1645952321411
"ENSG00000081052.11",9895,"ENSG00000081052.11","ENSG00000081052","protein_coding","COL4A4",1286,"InGen",1,0.386424182210685,-1.99496036692436,1.90030416197916,-6.76984468450672,1.96777805559451e-11,1.8270819246195e-08,15.5174889253627
"ENSG00000120903.12",5062,"ENSG00000120903.12","ENSG00000120903","protein_coding","CHRNA2",1135,"InGen",13,0.438805981919801,-4.85844356382082,0.125124126925174,-6.76055728552483,2.0934499913725e-11,1.87674182330008e-08,15.4607759366462
"ENSG00000048540.14",10268,"ENSG00000048540.14","ENSG00000048540","protein_coding","LMO3",55885,"InGen",35,37.5681199801177,2.05280888336596,8.23981437237988,6.72992787513204,2.56625543624739e-11,2.22391696105199e-08,15.2626119497701
"ENSG00000147434.8",2596,"ENSG00000147434.8","ENSG00000147434","protein_coding","CHRNA6",8973,"InGen",5,0.323931818074383,-3.77925516969024,-1.02078747310605,-6.71993054214357,2.7421300530594e-11,2.29967410062704e-08,15.1731641980162
"ENSG00000063180.8",2075,"ENSG00000063180.8","ENSG00000063180","protein_coding","CA11",770,"InGen",4,85.6169569910772,2.02599212214503,7.30069673284346,6.6179887273465,5.36363462398804e-11,4.35761790482628e-08,14.5541757485568
"ENSG00000106341.10",2384,"ENSG00000106341.10","ENSG00000106341","protein_coding","PPP1R17",10842,"InGen",3,0.598397505492671,-3.60778383916725,-0.145144285483139,-6.61271119355269,5.55181938836126e-11,4.3738242563217e-08,14.5245427565363
"ENSG00000198626.15",17777,"ENSG00000198626.15","ENSG00000198626","protein_coding","RYR2",6262,"InGen",7,22.6011911459497,1.77609722144546,8.60033245119597,6.58409086635447,6.69061505787996e-11,4.96978886499323e-08,14.3400320670244
"ENSG00000204175.5",1968,"ENSG00000204175.5","ENSG00000204175","protein_coding","GPRIN2",9721,"InGen",2,1.02204227796485,-2.62607944524991,0.225659597670235,-6.58586410477393,6.61385563856014e-11,4.96978886499323e-08,14.3259757816516
"ENSG00000109861.15",11421,"ENSG00000109861.15","ENSG00000109861","protein_coding","CTSC",1075,"InGen",9,0.93270458492542,-1.71359838749419,3.35788716344369,-6.54037924090346,8.88419837695706e-11,6.41587192789249e-08,14.07419396194
"ENSG00000118729.11",2769,"ENSG00000118729.11","ENSG00000118729","protein_coding","CASQ2",845,"InGen",2,0.713772674791917,-2.35206133503856,0.532947897055534,-6.53111439101492,9.432499426395e-11,6.6277329753356e-08,14.0168622809218
